example_id                                              | status | run_time        |
------------------------------------------------------- | ------ | --------------- |
./spec/controllers/events_controller_spec.rb[1:1:1]     | passed | 0.01328 seconds |
./spec/controllers/events_controller_spec.rb[1:1:2]     | passed | 0.01053 seconds |
./spec/controllers/events_controller_spec.rb[1:1:3]     | passed | 0.02262 seconds |
./spec/controllers/events_controller_spec.rb[1:2:1]     | passed | 0.01886 seconds |
./spec/controllers/events_controller_spec.rb[1:2:2]     | passed | 0.01713 seconds |
./spec/controllers/events_controller_spec.rb[1:3:1]     | passed | 0.01138 seconds |
./spec/controllers/events_controller_spec.rb[1:3:2]     | passed | 0.00924 seconds |
./spec/controllers/events_controller_spec.rb[1:4:1:1]   | passed | 0.02297 seconds |
./spec/controllers/events_controller_spec.rb[1:4:1:2]   | passed | 0.01488 seconds |
./spec/controllers/events_controller_spec.rb[1:4:2:1]   | passed | 0.01298 seconds |
./spec/controllers/events_controller_spec.rb[1:4:2:2]   | passed | 0.01589 seconds |
./spec/controllers/sessions_controller_spec.rb[1:1:1]   | passed | 0.0041 seconds  |
./spec/controllers/sessions_controller_spec.rb[1:1:2]   | passed | 0.00913 seconds |
./spec/controllers/sessions_controller_spec.rb[1:2:1:1] | passed | 0.01594 seconds |
./spec/controllers/sessions_controller_spec.rb[1:2:1:2] | passed | 0.01441 seconds |
./spec/controllers/sessions_controller_spec.rb[1:2:2:1] | passed | 0.00646 seconds |
./spec/controllers/sessions_controller_spec.rb[1:2:2:2] | passed | 0.00943 seconds |
./spec/controllers/users_controller_spec.rb[1:1:1]      | passed | 0.00786 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1]      | passed | 0.01917 seconds |
./spec/controllers/users_controller_spec.rb[1:2:2]      | passed | 0.0182 seconds  |
./spec/controllers/users_controller_spec.rb[1:3:1:1]    | passed | 0.01117 seconds |
./spec/features/authentication_spec.rb[1:1]             | passed | 1.33 seconds    |
./spec/features/authentication_spec.rb[1:2:1]           | passed | 8.17 seconds    |
./spec/features/event_creation_spec.rb[1:1:1]           | passed | 4.65 seconds    |
./spec/features/event_creation_spec.rb[1:1:2:1]         | passed | 8.79 seconds    |
./spec/features/event_creation_spec.rb[1:1:3]           | passed | 10.9 seconds    |
./spec/models/attendance_spec.rb[1:1:1]                 | passed | 0.00702 seconds |
./spec/models/attendance_spec.rb[1:1:2]                 | passed | 0.01964 seconds |
./spec/models/event_spec.rb[1:1:1]                      | passed | 0.0077 seconds  |
./spec/models/event_spec.rb[1:2:1]                      | passed | 0.00184 seconds |
./spec/models/event_spec.rb[1:2:2]                      | passed | 0.00215 seconds |
./spec/models/event_spec.rb[1:2:3]                      | passed | 0.00482 seconds |
./spec/models/user_spec.rb[1:1:1]                       | passed | 0.01148 seconds |
./spec/models/user_spec.rb[1:1:2]                       | passed | 0.00978 seconds |
./spec/models/user_spec.rb[1:1:3]                       | passed | 0.01079 seconds |
./spec/models/user_spec.rb[1:2:1]                       | passed | 0.00091 seconds |
./spec/models/user_spec.rb[1:2:2]                       | passed | 0.00124 seconds |
./spec/models/user_spec.rb[1:2:3]                       | passed | 0.00132 seconds |
